Codigo,Materia,Creditos,Nota,Ano,Cuat
6106,PROBABILIDAD Y ESTADISTICA,4,9,2020,1
6730,COMBUSTION,4,7,2021,2
6750,MATERIALES FERROSOS Y SUS APLICACIONES,4,8,2021,2
6758,INTR.AL MÉTODO DE LOS ELEM. FINITOS,6,10,2021,1
6760,INTRODUCCIÓN AL ANÁLISIS TENSORIAL,4,9,2021,1
6731,TRANSFERENCIA DE CALOR Y MASA,4,9,2022,2
6725,ELEMENTOS DE MAQUINAS,8,6,2022,2
6759,MECANICA DEL CONTINUO,6,10,2022,2
6757,ELEM. FINITOS AVANZ. EN MECANICA FLUIDOS,6,8,2022,1
6762,ELEMENTOS FINITOS AVANZADOS,6,10,2022,1
